email_text,label
"Congratulations! You've won a free iPhone. Click here to claim now.",1
"Verify your account immediately or it will be suspended.",1
"Your PayPal account has been limited. Log in to fix the issue.",1
"Get rich quick with this one simple trick!",1
"Please update your billing information.",1
"You have been selected for a free prize! Click here to claim now.",1
"Hey John, can you send me that report?",0
"Weekly meeting has been moved to Tuesday at 10am.",0
"Thank you for your payment. Your invoice is attached.",0
"Here is the draft for the presentation.",0
"Let's grab coffee tomorrow.",0
"Reminder: Your appointment is scheduled for Friday at 4pm.",0
